sep=;
LIGHT (lux);SOUND LEVEL (dB);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
58.0;42.496;26;2019-03-27 15:13:28:078
65.0;41.535;525;2019-03-27 15:13:28:577
66.0;40.676;1024;2019-03-27 15:13:29:076
78.0;51.544;1525;2019-03-27 15:13:29:577
74.0;54.81;2027;2019-03-27 15:13:30:079
81.0;61.422;2525;2019-03-27 15:13:30:577
57.0;46.734;3025;2019-03-27 15:13:31:077
60.0;42.134;3525;2019-03-27 15:13:31:577
47.0;53.438;4025;2019-03-27 15:13:32:077
17.0;54.795;4525;2019-03-27 15:13:32:577
0.0;48.712;5030;2019-03-27 15:13:33:082
0.0;49.727;5525;2019-03-27 15:13:33:577
0.0;43.116;6025;2019-03-27 15:13:34:077
0.0;55.84;6526;2019-03-27 15:13:34:578
0.0;45.913;7026;2019-03-27 15:13:35:078
1.0;47.348;7525;2019-03-27 15:13:35:577
33.0;40.965;8025;2019-03-27 15:13:36:077
75.0;41.971;8525;2019-03-27 15:13:36:577
73.0;50.096;9025;2019-03-27 15:13:37:077
73.0;58.865;9525;2019-03-27 15:13:37:577
73.0;51.878;10025;2019-03-27 15:13:38:077
73.0;53.35;10525;2019-03-27 15:13:38:577
73.0;51.076;11025;2019-03-27 15:13:39:077
75.0;43.269;11525;2019-03-27 15:13:39:577
73.0;45.154;12025;2019-03-27 15:13:40:077
73.0;40.55;12524;2019-03-27 15:13:40:576
73.0;49.041;13024;2019-03-27 15:13:41:076
73.0;60.273;13526;2019-03-27 15:13:41:578
73.0;52.449;14025;2019-03-27 15:13:42:077
73.0;50.198;14525;2019-03-27 15:13:42:577
73.0;54.193;15026;2019-03-27 15:13:43:078
73.0;53.501;15525;2019-03-27 15:13:43:577
75.0;52.716;16025;2019-03-27 15:13:44:077
73.0;39.137;16526;2019-03-27 15:13:44:578
73.0;40.781;17025;2019-03-27 15:13:45:077
75.0;54.951;17525;2019-03-27 15:13:45:577
73.0;53.405;18027;2019-03-27 15:13:46:079
73.0;44.956;18525;2019-03-27 15:13:46:577
