LIGHT (lux),SOUND LEVEL (dB),Time,YYYY-MO-DD HH-MI-SS_SSS
9.7,46.763,18,2019-04-01 15:05:00:694
9.9,48.835,518,2019-04-01 15:05:01:194
10.2,43.981,1017,2019-04-01 15:05:01:693
10.2,47.722,1517,2019-04-01 15:05:02:193
9.9,47.038,2018,2019-04-01 15:05:02:694
10,48.115,2518,2019-04-01 15:05:03:194
10,47.123,3017,2019-04-01 15:05:03:693
9.9,45.898,3517,2019-04-01 15:05:04:193
9.8,48.667,4017,2019-04-01 15:05:04:693
9.6,49.717,4518,2019-04-01 15:05:05:194
9.8,47.602,5017,2019-04-01 15:05:05:693
9.7,47.615,5517,2019-04-01 15:05:06:193
10.2,45.566,6017,2019-04-01 15:05:06:693
10.2,46.306,6517,2019-04-01 15:05:07:193
10.3,44.925,7018,2019-04-01 15:05:07:694
10.2,46.932,7518,2019-04-01 15:05:08:194
10.3,43.215,8018,2019-04-01 15:05:08:694
10.2,48.141,8518,2019-04-01 15:05:09:194
10.2,57.721,9017,2019-04-01 15:05:09:693
10.2,45.103,9517,2019-04-01 15:05:10:193
10.2,46.07,10018,2019-04-01 15:05:10:694
10.2,44.472,10518,2019-04-01 15:05:11:194
10.2,44.046,11018,2019-04-01 15:05:11:694
10.2,43.307,11517,2019-04-01 15:05:12:193
10.2,45.902,12017,2019-04-01 15:05:12:693
10.2,47.815,12518,2019-04-01 15:05:13:194
10.4,45.693,13018,2019-04-01 15:05:13:694
10.5,42.121,13517,2019-04-01 15:05:14:193
10.5,45.691,14018,2019-04-01 15:05:14:694
10.5,45.378,14517,2019-04-01 15:05:15:193
10.5,45.839,15018,2019-04-01 15:05:15:694
10.4,39.374,15518,2019-04-01 15:05:16:194
10.4,43.001,16018,2019-04-01 15:05:16:694
10.4,44.58,16518,2019-04-01 15:05:17:194
10.4,49.045,17017,2019-04-01 15:05:17:693
10.4,47.469,17518,2019-04-01 15:05:18:194
10.4,40.677,18017,2019-04-01 15:05:18:693
10.5,44.969,18518,2019-04-01 15:05:19:194
10.5,52.617,19017,2019-04-01 15:05:19:693
10.2,43.901,19518,2019-04-01 15:05:20:194
10.2,49.234,20018,2019-04-01 15:05:20:694
10.2,46.551,20518,2019-04-01 15:05:21:194
10.2,44.708,21018,2019-04-01 15:05:21:694
10.2,49.575,21518,2019-04-01 15:05:22:194
10.2,46.375,22018,2019-04-01 15:05:22:694
10.2,50.629,22518,2019-04-01 15:05:23:194
9.9,44.62,23017,2019-04-01 15:05:23:693
10.2,44.497,23518,2019-04-01 15:05:24:194
10.2,45.999,24018,2019-04-01 15:05:24:694
10.2,45.525,24518,2019-04-01 15:05:25:194
10.2,35.384,25018,2019-04-01 15:05:25:694
10.2,40.083,25518,2019-04-01 15:05:26:194
10.2,45.253,26018,2019-04-01 15:05:26:694
10.2,46.014,26518,2019-04-01 15:05:27:194
10.2,44.754,27018,2019-04-01 15:05:27:694
10.2,51.375,27517,2019-04-01 15:05:28:193
10.2,45.715,28018,2019-04-01 15:05:28:694
10.2,46.573,28517,2019-04-01 15:05:29:193
10.5,50.871,29018,2019-04-01 15:05:29:694
10.5,49.747,29518,2019-04-01 15:05:30:194
10.2,44.742,30017,2019-04-01 15:05:30:693
10.5,46.668,30518,2019-04-01 15:05:31:194
10.2,46.839,31017,2019-04-01 15:05:31:693
10.2,47.821,31518,2019-04-01 15:05:32:194
10.5,46.858,32018,2019-04-01 15:05:32:694
10.5,44.435,32518,2019-04-01 15:05:33:194
10.2,48.224,33018,2019-04-01 15:05:33:694
10.5,46.263,33517,2019-04-01 15:05:34:193
10.2,45.045,34018,2019-04-01 15:05:34:694
10.2,45.072,34518,2019-04-01 15:05:35:194
10.2,44.958,35017,2019-04-01 15:05:35:693
10.5,43.759,35518,2019-04-01 15:05:36:194
10.5,43.537,36017,2019-04-01 15:05:36:693
10.2,41.953,36517,2019-04-01 15:05:37:193
10.5,35.473,37018,2019-04-01 15:05:37:694
10.2,45.76,37519,2019-04-01 15:05:38:195
10.2,46.627,38018,2019-04-01 15:05:38:694
10.2,45.432,38518,2019-04-01 15:05:39:194
10.2,39.347,39018,2019-04-01 15:05:39:694
10.2,45.48,39518,2019-04-01 15:05:40:194
10.2,42.752,40018,2019-04-01 15:05:40:694
10.2,39.524,40518,2019-04-01 15:05:41:194
10.5,46.229,41018,2019-04-01 15:05:41:694
10.7,45.95,41517,2019-04-01 15:05:42:193
10.8,46.748,42018,2019-04-01 15:05:42:694
10.7,46.944,42517,2019-04-01 15:05:43:193
10.8,45.482,43018,2019-04-01 15:05:43:694
10.7,44.475,43518,2019-04-01 15:05:44:194
10.5,46.12,44018,2019-04-01 15:05:44:694
10.7,43.984,44518,2019-04-01 15:05:45:194
10.7,42.5,45018,2019-04-01 15:05:45:694
10.5,47.764,45518,2019-04-01 15:05:46:194
10.7,39.257,46017,2019-04-01 15:05:46:693
10.5,43.074,46518,2019-04-01 15:05:47:194
10.5,46.247,47018,2019-04-01 15:05:47:694
10.4,41.965,47518,2019-04-01 15:05:48:194
10.5,46.174,48017,2019-04-01 15:05:48:693
10.4,46.125,48518,2019-04-01 15:05:49:194
9.9,43.933,49017,2019-04-01 15:05:49:693
10.2,42.65,49518,2019-04-01 15:05:50:194
10.5,38.851,50017,2019-04-01 15:05:50:693
10.2,39.662,50518,2019-04-01 15:05:51:194
10.2,37.155,51017,2019-04-01 15:05:51:693
10.2,59.8,51518,2019-04-01 15:05:52:194
10.2,48.266,52017,2019-04-01 15:05:52:693
10.4,44.859,52518,2019-04-01 15:05:53:194
10.4,40.159,53017,2019-04-01 15:05:53:693
10.3,49.744,53517,2019-04-01 15:05:54:193
10.5,50.928,54017,2019-04-01 15:05:54:693
10.2,42.633,54518,2019-04-01 15:05:55:194
10.2,39.63,55017,2019-04-01 15:05:55:693
10.2,45.337,55518,2019-04-01 15:05:56:194
10.2,43.422,56017,2019-04-01 15:05:56:693
10.2,38.719,56518,2019-04-01 15:05:57:194
10.2,33.888,57018,2019-04-01 15:05:57:694
10.2,47.769,57518,2019-04-01 15:05:58:194
10.2,47.602,58018,2019-04-01 15:05:58:694
10.2,43.769,58518,2019-04-01 15:05:59:194
10.2,40.811,59017,2019-04-01 15:05:59:693
10.2,40.703,59518,2019-04-01 15:06:00:194
10.2,43.284,60017,2019-04-01 15:06:00:693
10.2,49.469,60518,2019-04-01 15:06:01:194
10.2,43.165,61017,2019-04-01 15:06:01:693
10.2,44.867,61518,2019-04-01 15:06:02:194
10.2,47.648,62018,2019-04-01 15:06:02:694
10.2,46.38,62518,2019-04-01 15:06:03:194
10.2,43.263,63018,2019-04-01 15:06:03:694
10.2,51.318,63518,2019-04-01 15:06:04:194
10.1,66.121,64018,2019-04-01 15:06:04:694
9.9,54.311,64517,2019-04-01 15:06:05:193
10,42.752,65018,2019-04-01 15:06:05:694
10.2,47.622,65517,2019-04-01 15:06:06:193
10.2,48.086,66018,2019-04-01 15:06:06:694
10.2,45.446,66517,2019-04-01 15:06:07:193
10.2,46.181,67017,2019-04-01 15:06:07:693
10.2,59.238,67517,2019-04-01 15:06:08:193
10.2,46.147,68017,2019-04-01 15:06:08:693
10.2,44.644,68518,2019-04-01 15:06:09:194
9.9,48.254,69017,2019-04-01 15:06:09:693
10.2,36.574,69518,2019-04-01 15:06:10:194
10.2,36.612,70018,2019-04-01 15:06:10:694
10.2,48.841,70518,2019-04-01 15:06:11:194
10.2,40.159,71017,2019-04-01 15:06:11:693
9.6,36.407,71518,2019-04-01 15:06:12:194
9.9,36.269,72018,2019-04-01 15:06:12:694
9.9,40.794,72518,2019-04-01 15:06:13:194
10,54.142,73018,2019-04-01 15:06:13:694
10,38.673,73518,2019-04-01 15:06:14:194
10.1,43.526,74017,2019-04-01 15:06:14:693
10,47.376,74517,2019-04-01 15:06:15:193
9.9,46.729,75018,2019-04-01 15:06:15:694
9.9,45.714,75517,2019-04-01 15:06:16:193
9.7,45.39,76018,2019-04-01 15:06:16:694
10,45.49,76518,2019-04-01 15:06:17:194
9.9,45.744,77017,2019-04-01 15:06:17:693
9.9,39.888,77518,2019-04-01 15:06:18:194
9.9,46.483,78017,2019-04-01 15:06:18:693
9.9,46.059,78518,2019-04-01 15:06:19:194
9.9,53.795,79018,2019-04-01 15:06:19:694
9.7,37.286,79517,2019-04-01 15:06:20:193
9.9,45.746,80017,2019-04-01 15:06:20:693
10,45.09,80517,2019-04-01 15:06:21:193
10,46.73,81018,2019-04-01 15:06:21:694
9.7,48.473,81517,2019-04-01 15:06:22:193
9.8,46.916,82017,2019-04-01 15:06:22:693
10,44.977,82518,2019-04-01 15:06:23:194
9.8,45.109,83018,2019-04-01 15:06:23:694
9.9,39.123,83518,2019-04-01 15:06:24:194
10.1,39.326,84018,2019-04-01 15:06:24:694
9.9,45.308,84517,2019-04-01 15:06:25:193
10,44.731,85017,2019-04-01 15:06:25:693
10,45.937,85518,2019-04-01 15:06:26:194
9.8,46.106,86018,2019-04-01 15:06:26:694
9.8,50.243,86517,2019-04-01 15:06:27:193
9.8,44.327,87018,2019-04-01 15:06:27:694
9.8,40.37,87518,2019-04-01 15:06:28:194
10.2,48.278,88017,2019-04-01 15:06:28:693
9.7,44.394,88518,2019-04-01 15:06:29:194
10,46.741,89018,2019-04-01 15:06:29:694
9.9,45.921,89518,2019-04-01 15:06:30:194
9.8,44.578,90018,2019-04-01 15:06:30:694
9.8,45.228,90517,2019-04-01 15:06:31:193
9.8,44.284,91018,2019-04-01 15:06:31:694
10.2,45.069,91517,2019-04-01 15:06:32:193
9.8,45.325,92018,2019-04-01 15:06:32:694
9.9,49.235,92517,2019-04-01 15:06:33:193
9.8,65.404,93017,2019-04-01 15:06:33:693
9.8,43.951,93520,2019-04-01 15:06:34:196
9.9,45.965,94018,2019-04-01 15:06:34:694
9.8,44.175,94517,2019-04-01 15:06:35:193
9.9,41.28,95018,2019-04-01 15:06:35:694
9.9,44.683,95517,2019-04-01 15:06:36:193
9.9,46.791,96017,2019-04-01 15:06:36:693
9.9,45.153,96517,2019-04-01 15:06:37:193
9.9,46.035,97018,2019-04-01 15:06:37:694
10.1,44.364,97518,2019-04-01 15:06:38:194
9.9,42.499,98018,2019-04-01 15:06:38:694
10,53.593,98518,2019-04-01 15:06:39:194
9.9,44.999,99018,2019-04-01 15:06:39:694
10,49.483,99517,2019-04-01 15:06:40:193
10.1,48.474,100017,2019-04-01 15:06:40:693
10.2,46.329,100517,2019-04-01 15:06:41:193
10,44.843,101018,2019-04-01 15:06:41:694
10.1,46.641,101518,2019-04-01 15:06:42:194
10,43.933,102018,2019-04-01 15:06:42:694
9.9,43.603,102518,2019-04-01 15:06:43:194
9.9,40.628,103017,2019-04-01 15:06:43:693
10.2,46.256,103518,2019-04-01 15:06:44:194
9.8,42.356,104017,2019-04-01 15:06:44:693
9.9,43.228,104518,2019-04-01 15:06:45:194
9.8,50.475,105017,2019-04-01 15:06:45:693
9.9,40.256,105518,2019-04-01 15:06:46:194
10.2,35.734,106019,2019-04-01 15:06:46:695
9.9,37,106519,2019-04-01 15:06:47:195
9.9,37.112,107018,2019-04-01 15:06:47:694
9.9,38.038,107518,2019-04-01 15:06:48:194
9.9,40.687,108018,2019-04-01 15:06:48:694
9.9,37.26,108518,2019-04-01 15:06:49:194
9.9,39.2,109018,2019-04-01 15:06:49:694
9.9,46.826,109517,2019-04-01 15:06:50:193
10.2,47.641,110018,2019-04-01 15:06:50:694
10.5,45.021,110518,2019-04-01 15:06:51:194
10.5,46.46,111017,2019-04-01 15:06:51:693
10.2,45.799,111517,2019-04-01 15:06:52:193
10.5,64.095,112018,2019-04-01 15:06:52:694
10.2,43.639,112518,2019-04-01 15:06:53:194
10.2,46.986,113018,2019-04-01 15:06:53:694
10.5,46.273,113517,2019-04-01 15:06:54:193
10.5,50.136,114018,2019-04-01 15:06:54:694
10.2,46.386,114518,2019-04-01 15:06:55:194
10.2,45.261,115017,2019-04-01 15:06:55:693
10.2,46.023,115518,2019-04-01 15:06:56:194
10.2,45.439,116018,2019-04-01 15:06:56:694
10.2,48.023,116517,2019-04-01 15:06:57:193
10.2,46.197,117017,2019-04-01 15:06:57:693
10.2,43.98,117517,2019-04-01 15:06:58:193
10.2,44.272,118018,2019-04-01 15:06:58:694
10.2,42.486,118518,2019-04-01 15:06:59:194
10.2,43.109,119018,2019-04-01 15:06:59:694
10.5,40.317,119518,2019-04-01 15:07:00:194
10.3,39.182,120018,2019-04-01 15:07:00:694
10.3,37.597,120517,2019-04-01 15:07:01:193
10.2,37.753,121018,2019-04-01 15:07:01:694
10.2,37.902,121518,2019-04-01 15:07:02:194
10.2,37.143,122018,2019-04-01 15:07:02:694
10.2,46.275,122517,2019-04-01 15:07:03:193
9.9,44.628,123017,2019-04-01 15:07:03:693
10.2,41.581,123518,2019-04-01 15:07:04:194
10.2,47.378,124017,2019-04-01 15:07:04:693
10.2,38.158,124518,2019-04-01 15:07:05:194
9.9,51.549,125018,2019-04-01 15:07:05:694
9.9,42.905,125517,2019-04-01 15:07:06:193
9.9,40.969,126018,2019-04-01 15:07:06:694
9.9,37.474,126518,2019-04-01 15:07:07:194
9.9,38.634,127018,2019-04-01 15:07:07:694
10.2,37.599,127518,2019-04-01 15:07:08:194
10,49.588,128018,2019-04-01 15:07:08:694
10,49.36,128517,2019-04-01 15:07:09:193
10,59.63,129017,2019-04-01 15:07:09:693
10,40.475,129518,2019-04-01 15:07:10:194
9.8,42.678,130018,2019-04-01 15:07:10:694
9.8,47.93,130518,2019-04-01 15:07:11:194
10.2,36.39,131018,2019-04-01 15:07:11:694
10.2,38.09,131518,2019-04-01 15:07:12:194
10,42.708,132018,2019-04-01 15:07:12:694
10,43.208,132518,2019-04-01 15:07:13:194
9.9,37.263,133019,2019-04-01 15:07:13:695
9.9,40.528,133518,2019-04-01 15:07:14:194
9.9,41.317,134018,2019-04-01 15:07:14:694
10.2,45.683,134518,2019-04-01 15:07:15:194
10.2,41.51,135017,2019-04-01 15:07:15:693
10.5,46.638,135518,2019-04-01 15:07:16:194
10.5,64.072,136017,2019-04-01 15:07:16:693
10.5,45.907,136518,2019-04-01 15:07:17:194
10.2,44.663,137017,2019-04-01 15:07:17:693
10.5,46.776,137518,2019-04-01 15:07:18:194
10.2,47.118,138018,2019-04-01 15:07:18:694
10.5,46.697,138517,2019-04-01 15:07:19:193
10.5,41.173,139018,2019-04-01 15:07:19:694
10.2,45.521,139518,2019-04-01 15:07:20:194
10.2,47.832,140018,2019-04-01 15:07:20:694
10.2,49.551,140517,2019-04-01 15:07:21:193
10.2,47.824,141018,2019-04-01 15:07:21:694
10.2,38.979,141517,2019-04-01 15:07:22:193
10.2,43.14,142018,2019-04-01 15:07:22:694
10.2,46.986,142518,2019-04-01 15:07:23:194
9.9,46.397,143018,2019-04-01 15:07:23:694
10.2,43.69,143519,2019-04-01 15:07:24:195
10.2,49.362,144018,2019-04-01 15:07:24:694
10.2,50.303,144520,2019-04-01 15:07:25:196
10.2,44.534,145018,2019-04-01 15:07:25:694
10.2,67.978,145517,2019-04-01 15:07:26:193
10.2,44.466,146018,2019-04-01 15:07:26:694
10.2,46.196,146517,2019-04-01 15:07:27:193
10.1,48.888,147018,2019-04-01 15:07:27:694
10.2,46.893,147518,2019-04-01 15:07:28:194
10.2,39.172,148018,2019-04-01 15:07:28:694
10.2,43.503,148517,2019-04-01 15:07:29:193
10.2,48.939,149018,2019-04-01 15:07:29:694
10.2,40.796,149518,2019-04-01 15:07:30:194
10.2,46.862,150018,2019-04-01 15:07:30:694
10,48.277,150517,2019-04-01 15:07:31:193
10.2,43.648,151018,2019-04-01 15:07:31:694
10.2,45.077,151518,2019-04-01 15:07:32:194
10.2,46.455,152017,2019-04-01 15:07:32:693
9.9,46.807,152518,2019-04-01 15:07:33:194
9.9,47.19,153018,2019-04-01 15:07:33:694
10,48.043,153517,2019-04-01 15:07:34:193
10.2,46.301,154018,2019-04-01 15:07:34:694
10.2,45.607,154518,2019-04-01 15:07:35:194
10.2,43.267,155017,2019-04-01 15:07:35:693
10.2,43.561,155518,2019-04-01 15:07:36:194
10.2,45.638,156018,2019-04-01 15:07:36:694
10.2,44.523,156517,2019-04-01 15:07:37:193
10.2,45.323,157018,2019-04-01 15:07:37:694
10.2,45.286,157517,2019-04-01 15:07:38:193
10.2,47.345,158018,2019-04-01 15:07:38:694
10.2,45.743,158517,2019-04-01 15:07:39:193
10.2,39.365,159018,2019-04-01 15:07:39:694
10.2,42.312,159517,2019-04-01 15:07:40:193
9.9,47.145,160018,2019-04-01 15:07:40:694
10.2,45.924,160518,2019-04-01 15:07:41:194
10.2,40.858,161018,2019-04-01 15:07:41:694
10.5,39.822,161517,2019-04-01 15:07:42:193
10.2,45.683,162018,2019-04-01 15:07:42:694
10.5,46.646,162517,2019-04-01 15:07:43:193
10.2,45.923,163018,2019-04-01 15:07:43:694
10.2,43.447,163518,2019-04-01 15:07:44:194
10.2,40.472,164018,2019-04-01 15:07:44:694
10.2,44.898,164517,2019-04-01 15:07:45:193
10.2,44.301,165018,2019-04-01 15:07:45:694
10.3,38.373,165518,2019-04-01 15:07:46:194
10.5,46.211,166018,2019-04-01 15:07:46:694
10.2,43.094,166518,2019-04-01 15:07:47:194
10.2,44.876,167018,2019-04-01 15:07:47:694
10.3,47.991,167517,2019-04-01 15:07:48:193
10.2,47.815,168017,2019-04-01 15:07:48:693
10.2,45.854,168517,2019-04-01 15:07:49:193
10.2,45.971,169018,2019-04-01 15:07:49:694
9.9,46.5,169517,2019-04-01 15:07:50:193
10.2,44.382,170017,2019-04-01 15:07:50:693
10.2,46.423,170517,2019-04-01 15:07:51:193
10.2,49.154,171017,2019-04-01 15:07:51:693
10.2,38.089,171518,2019-04-01 15:07:52:194
10.2,47.351,172018,2019-04-01 15:07:52:694
10.2,46.474,172518,2019-04-01 15:07:53:194
10.2,45.062,173018,2019-04-01 15:07:53:694
10.2,45.665,173517,2019-04-01 15:07:54:193
10,37.922,174017,2019-04-01 15:07:54:693
10.2,46.728,174518,2019-04-01 15:07:55:194
10.4,47.318,175018,2019-04-01 15:07:55:694
10.2,42.688,175518,2019-04-01 15:07:56:194
10.2,47.385,176018,2019-04-01 15:07:56:694
10.2,44.827,176517,2019-04-01 15:07:57:193
10.2,46.735,177018,2019-04-01 15:07:57:694
10.2,39.533,177518,2019-04-01 15:07:58:194
10.2,35.197,178017,2019-04-01 15:07:58:693
10.2,45.124,178518,2019-04-01 15:07:59:194
10.2,46.753,179018,2019-04-01 15:07:59:694
10.2,44.295,179518,2019-04-01 15:08:00:194
10.2,44.07,180018,2019-04-01 15:08:00:694
10.2,47.044,180518,2019-04-01 15:08:01:194
10.2,38.298,181018,2019-04-01 15:08:01:694
10.2,45.902,181519,2019-04-01 15:08:02:195
10.2,45.036,182018,2019-04-01 15:08:02:694
