sep=;
LIGHT (lux);SOUND LEVEL (dB);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
232.0;55.941;24;2019-04-02 13:34:27:275
232.0;55.745;524;2019-04-02 13:34:27:775
232.0;56.617;1025;2019-04-02 13:34:28:276
230.0;52.399;1525;2019-04-02 13:34:28:776
232.0;56.657;2025;2019-04-02 13:34:29:276
234.0;58.17;2525;2019-04-02 13:34:29:776
232.0;56.08;3026;2019-04-02 13:34:30:277
232.0;58.232;3525;2019-04-02 13:34:30:776
232.0;55.436;4024;2019-04-02 13:34:31:275
232.0;43.099;4525;2019-04-02 13:34:31:776
232.0;43.407;5026;2019-04-02 13:34:32:277
232.0;56.953;5525;2019-04-02 13:34:32:776
232.0;56.167;6025;2019-04-02 13:34:33:276
232.0;47.061;6525;2019-04-02 13:34:33:776
232.0;55.739;7025;2019-04-02 13:34:34:276
232.0;52.492;7525;2019-04-02 13:34:34:776
232.0;48.912;8025;2019-04-02 13:34:35:276
232.0;51.377;8526;2019-04-02 13:34:35:777
232.0;51.605;9025;2019-04-02 13:34:36:276
232.0;51.776;9525;2019-04-02 13:34:36:776
234.0;52.641;10025;2019-04-02 13:34:37:276
234.0;48.197;10525;2019-04-02 13:34:37:776
234.0;34.689;11026;2019-04-02 13:34:38:277
234.0;38.127;11527;2019-04-02 13:34:38:778
229.0;39.748;12025;2019-04-02 13:34:39:276
211.0;44.246;12525;2019-04-02 13:34:39:776
22.0;35.948;13025;2019-04-02 13:34:40:276
15.0;48.558;13525;2019-04-02 13:34:40:776
15.0;32.051;14025;2019-04-02 13:34:41:276
20.0;51.49;14525;2019-04-02 13:34:41:776
28.0;53.763;15025;2019-04-02 13:34:42:276
36.0;53.418;15525;2019-04-02 13:34:42:776
191.0;51.919;16025;2019-04-02 13:34:43:276
221.0;50.835;16525;2019-04-02 13:34:43:776
228.0;52.775;17025;2019-04-02 13:34:44:276
232.0;56.303;17524;2019-04-02 13:34:44:775
227.0;51.168;18025;2019-04-02 13:34:45:276
232.0;37.905;18525;2019-04-02 13:34:45:776
224.0;61.992;19024;2019-04-02 13:34:46:275
180.0;55.326;19524;2019-04-02 13:34:46:775
182.0;54.524;20024;2019-04-02 13:34:47:275
222.0;56.912;20525;2019-04-02 13:34:47:776
225.0;57.695;21025;2019-04-02 13:34:48:276
224.0;53.618;21525;2019-04-02 13:34:48:776
223.0;39.685;22025;2019-04-02 13:34:49:276
234.0;55.724;22525;2019-04-02 13:34:49:776
234.0;56.123;23024;2019-04-02 13:34:50:275
234.0;51.921;23524;2019-04-02 13:34:50:775
234.0;46.097;24026;2019-04-02 13:34:51:277
234.0;53.257;24526;2019-04-02 13:34:51:777
234.0;63.722;25027;2019-04-02 13:34:52:278
234.0;56.654;25525;2019-04-02 13:34:52:776
234.0;54.736;26026;2019-04-02 13:34:53:277
234.0;56.482;26525;2019-04-02 13:34:53:776
234.0;51.168;27025;2019-04-02 13:34:54:276
234.0;56.504;27525;2019-04-02 13:34:54:776
234.0;46.696;28025;2019-04-02 13:34:55:276
234.0;57.416;28525;2019-04-02 13:34:55:776
234.0;50.326;29025;2019-04-02 13:34:56:276
234.0;56.248;29525;2019-04-02 13:34:56:776
234.0;41.934;30025;2019-04-02 13:34:57:276
234.0;56.016;30525;2019-04-02 13:34:57:776
234.0;53.031;31026;2019-04-02 13:34:58:277
234.0;50.12;31525;2019-04-02 13:34:58:776
234.0;45.267;32025;2019-04-02 13:34:59:276
234.0;39.484;32526;2019-04-02 13:34:59:777
234.0;38.243;33026;2019-04-02 13:35:00:277
234.0;37.139;33525;2019-04-02 13:35:00:776
234.0;37.936;34025;2019-04-02 13:35:01:276
234.0;60.571;34526;2019-04-02 13:35:01:777
