LIGHT (lux),SOUND LEVEL (dB),Time,YYYY-MO-DD HH-MI-SS_SSS
492,57.199,19,2019-03-12 12:01:15:952
503,56.53,519,2019-03-12 12:01:16:452
510,55.453,1019,2019-03-12 12:01:16:952
512,58.597,1518,2019-03-12 12:01:17:451
512,60.535,2019,2019-03-12 12:01:17:952
512,54.316,2520,2019-03-12 12:01:18:453
512,51.637,3020,2019-03-12 12:01:18:953
512,49.413,3519,2019-03-12 12:01:19:452
512,55.254,4018,2019-03-12 12:01:19:951
512,53.946,4520,2019-03-12 12:01:20:453
521,53.368,5019,2019-03-12 12:01:20:952
512,56.068,5519,2019-03-12 12:01:21:452
512,60.024,6019,2019-03-12 12:01:21:952
519,58.418,6520,2019-03-12 12:01:22:453
512,57.073,7019,2019-03-12 12:01:22:952
519,54.752,7519,2019-03-12 12:01:23:452
521,56.78,8019,2019-03-12 12:01:23:952
519,55.639,8520,2019-03-12 12:01:24:453
512,54.96,9019,2019-03-12 12:01:24:952
512,55.483,9519,2019-03-12 12:01:25:452
512,55.819,10020,2019-03-12 12:01:25:953
512,55.815,10518,2019-03-12 12:01:26:451
519,56.928,11020,2019-03-12 12:01:26:953
512,55.053,11519,2019-03-12 12:01:27:452
512,54.156,12019,2019-03-12 12:01:27:952
519,54.995,12519,2019-03-12 12:01:28:452
512,57.18,13022,2019-03-12 12:01:28:955
512,55.62,13521,2019-03-12 12:01:29:454
512,55.527,14019,2019-03-12 12:01:29:952
512,54.231,14520,2019-03-12 12:01:30:453
512,53.173,15019,2019-03-12 12:01:30:952
512,53.303,15519,2019-03-12 12:01:31:452
512,56.908,16019,2019-03-12 12:01:31:952
512,61.1,16518,2019-03-12 12:01:32:451
512,59.121,17019,2019-03-12 12:01:32:952
512,59.402,17519,2019-03-12 12:01:33:452
512,58.416,18018,2019-03-12 12:01:33:951
512,57.459,18519,2019-03-12 12:01:34:452
512,57.492,19019,2019-03-12 12:01:34:952
512,53.537,19519,2019-03-12 12:01:35:452
512,52.75,20019,2019-03-12 12:01:35:952
512,55.048,20518,2019-03-12 12:01:36:451
512,55.117,21019,2019-03-12 12:01:36:952
512,56.131,21519,2019-03-12 12:01:37:452
512,53.322,22018,2019-03-12 12:01:37:951
