Time,Light,Sound,Engagement
10,176.5,61.9,Somewhat
20,216.3,61.3,Somewhat
30,218.3,59.8,Somewhat
40,217.7,59.9,Somewhat
50,218.9,60.2,Somewhat
60,220.0,60.0,Somewhat
70,219.4,61.5,Somewhat
80,218.8,62.3,Somewhat
90,217.8,62.9,Somewhat
100,219.5,63.0,Somewhat
110,219.6,62.1,Somewhat
120,219.8,62.7,Somewhat
130,219.3,62.9,Somewhat
140,219.9,62.9,Somewhat
150,220.0,62.9,No
160,219.9,61.7,No
170,219.9,62.5,No
180,219.6,62.5,Somewhat
190,218.9,63.2,Somewhat
200,219.6,61.9,Somewhat
210,219.4,62.3,No
220,219.7,62.7,Somewhat
230,219.2,63.4,Somewhat
240,219.7,63.2,Somewhat
250,219.3,62.5,Somewhat
260,219.6,62.9,Somewhat
270,219.7,62.6,No
280,219.2,63.0,No
290,219.9,62.7,Somewhat
300,218.8,62.4,Yes
310,219.3,63.6,Somewhat
320,218.8,63.3,Somewhat
330,219.5,62.8,Somewhat
340,219.5,63.4,Somewhat
350,219.2,63.6,Somewhat
360,218.9,63.2,Somewhat
370,219.4,63.8,Somewhat
380,218.9,64.3,Somewhat
390,219.4,64.2,Somewhat
400,219.6,63.7,Somewhat
410,219.8,63.4,Somewhat
420,219.8,62.9,Somewhat
430,219.9,62.8,Somewhat
440,219.9,63.0,Somewhat
450,219.9,63.0,Yes
460,219.9,63.1,Yes
470,219.8,62.6,Somewhat
480,219.9,62.6,Somewhat
490,220.0,62.8,Yes
500,219.4,63.1,Somewhat
510,218.5,62.8,Somewhat
520,218.6,63.8,Yes
530,218.7,63.5,Yes
540,218.9,63.4,Yes
550,218.6,62.9,Yes
560,218.8,62.4,Yes
570,218.2,63.2,Yes
580,218.6,62.6,Yes
590,219.2,62.7,Yes
600,219.3,62.7,Yes
610,218.2,62.5,Somewhat
620,218.9,62.4,Yes
630,219.3,62.8,Yes
640,218.3,62.3,Yes
650,218.9,61.8,Somewhat
660,219.0,62.2,Somewhat
670,218.6,62.3,Somewhat
680,219.2,62.4,Somewhat
690,218.6,62.2,Yes
700,219.2,62.8,Somewhat
710,219.4,62.8,Somewhat
720,219.2,62.4,Somewhat
730,219.4,62.4,Somewhat
740,219.0,61.8,Somewhat
750,219.3,62.6,Somewhat
760,219.9,62.5,Somewhat
770,219.8,62.0,Somewhat
780,219.3,62.2,Yes
790,219.6,62.1,Somewhat
800,219.7,62.5,Somewhat
810,218.6,62.0,Somewhat
820,219.8,62.1,Somewhat
830,219.3,61.8,Somewhat
840,219.9,62.3,Somewhat
850,219.8,62.0,Yes
860,219.3,62.7,Yes
870,219.8,63.1,Yes
880,219.4,61.8,Somewhat
890,218.8,61.7,Somewhat
900,219.4,62.4,Somewhat
910,219.6,62.6,Yes
920,219.7,61.2,Somewhat
930,219.0,62.2,Somewhat
940,219.6,62.4,Yes
950,219.4,62.2,Somewhat
960,219.2,62.1,Somewhat
970,219.1,62.0,Somewhat
980,218.9,62.7,Yes
990,219.4,61.9,Somewhat
1000,218.1,62.6,Somewhat
1010,218.3,62.2,Yes
1020,219.0,62.8,Yes
1030,218.4,62.1,Yes
1040,218.7,62.5,Yes
1050,219.3,62.8,Somewhat
1060,219.4,63.2,Somewhat
1070,219.3,63.6,Yes
1080,219.2,63.2,Somewhat
1090,218.8,62.8,Somewhat
1100,218.5,62.9,Somewhat
1110,218.6,62.9,Somewhat
1120,218.2,63.1,Somewhat
1130,218.2,62.3,Somewhat
1140,218.6,61.8,Somewhat
1150,218.7,62.0,Somewhat
1160,219.3,62.6,Somewhat
1170,218.9,62.7,Somewhat
1180,219.4,62.3,Somewhat
1190,219.3,62.5,Somewhat
1200,219.2,62.1,Somewhat
1210,219.2,62.7,Yes
1220,219.3,62.8,Yes
1230,218.5,62.5,Somewhat
1240,219.0,62.1,Somewhat
1250,218.6,62.4,Somewhat
1260,218.8,63.0,Somewhat
1270,218.0,62.7,Somewhat
1280,219.0,62.5,Somewhat
1290,218.5,61.8,Somewhat
1300,218.6,62.6,Somewhat
1310,218.7,62.8,Yes
1320,218.6,61.9,Somewhat
1330,218.2,62.2,Somewhat
1340,218.4,62.7,Somewhat
1350,219.3,62.8,Yes
1360,219.2,63.5,Yes
1370,219.3,63.3,Yes
1380,219.2,63.9,Yes
1390,219.2,62.9,Somewhat
1400,218.0,62.6,Somewhat
1410,218.4,62.8,Yes
1420,219.3,62.5,Somewhat
1430,219.3,62.6,Somewhat
1440,218.0,62.8,Somewhat
1450,218.9,62.2,Somewhat
1460,218.0,62.2,Somewhat
1470,219.0,61.8,Somewhat
1480,218.7,62.1,Somewhat
1490,218.7,61.6,Somewhat
1500,218.9,62.6,Yes
1510,219.3,62.0,Yes
1520,218.8,62.1,Somewhat
1530,219.2,62.5,Somewhat
1540,219.6,62.7,Somewhat
1550,219.3,63.2,Somewhat
1560,218.9,62.7,Somewhat
1570,219.1,62.3,Somewhat
1580,219.0,62.5,Somewhat
1590,218.9,62.5,Yes
1600,219.0,63.1,Somewhat
1610,219.3,62.9,Yes
1620,219.5,62.3,Yes
1630,219.2,62.9,Somewhat
1640,219.8,64.1,Somewhat
1650,219.5,63.3,Somewhat
1660,219.4,63.9,Somewhat
1670,218.8,63.3,Somewhat
1680,218.8,62.9,Yes
1690,218.4,62.5,Yes
1700,219.2,62.9,Somewhat
1710,219.3,62.1,Somewhat
1720,219.2,63.4,Yes
1730,219.1,62.6,Somewhat
1740,217.0,62.7,Somewhat
1750,216.1,62.3,Somewhat
1760,215.1,61.7,Yes
1770,216.1,62.4,Somewhat
1780,217.2,62.0,Somewhat
1790,217.4,61.8,Somewhat
1800,218.7,62.6,Somewhat
1810,217.8,62.6,Somewhat
1820,219.2,62.7,Somewhat
1830,218.3,62.8,Somewhat
1840,218.8,62.1,Somewhat
1850,219.3,62.0,Somewhat
1860,218.6,62.4,Somewhat
1870,218.8,62.4,Somewhat
1880,218.4,62.6,Somewhat
1890,218.0,63.1,Somewhat
1900,219.1,63.0,Somewhat
1910,219.2,63.1,Somewhat
1920,219.3,62.7,Somewhat
1930,219.2,62.5,Yes
1940,219.3,61.9,Somewhat
1950,219.3,63.0,Somewhat
1960,219.3,63.3,Somewhat
1970,219.2,63.1,Somewhat
1980,218.5,62.8,Somewhat
1990,218.7,62.6,Somewhat
2000,219.1,62.9,Yes
2010,219.5,62.3,Somewhat
2020,219.4,62.5,Somewhat
2030,218.8,62.0,Somewhat
2040,218.3,62.5,Somewhat
2050,218.4,62.6,Yes
2060,219.1,62.4,Somewhat
2070,219.0,63.0,Somewhat
2080,218.9,63.0,Somewhat
2090,218.8,62.3,Somewhat
2100,219.2,62.3,Somewhat
2110,219.4,61.9,Somewhat
2120,218.7,62.4,Yes
2130,219.0,62.4,Yes
2140,219.3,62.3,Somewhat
2150,218.9,62.0,Somewhat
2160,218.5,62.5,Somewhat
2170,219.2,63.0,Somewhat
2180,218.9,62.9,Somewhat
2190,218.7,62.9,Yes
2200,218.8,62.5,Yes
2210,218.9,62.8,Yes
2220,217.1,62.6,Yes
2230,218.5,62.3,Yes
2240,219.3,62.6,Yes
2250,218.1,62.5,Yes
2260,213.8,62.0,Yes
2270,217.6,62.0,Yes
2280,217.8,62.2,Yes
2290,217.6,62.3,Yes
2300,217.9,62.7,Yes
2310,217.7,61.8,Yes
2320,217.8,62.0,Yes
2330,217.8,62.6,Yes
2340,217.5,62.1,Yes
2350,210.6,61.0,Yes
2360,208.4,60.5,Yes
2370,213.7,60.3,Yes
2380,214.7,60.0,Yes
2390,214.8,60.0,Yes
2400,214.8,60.0,Yes
2410,216.9,59.8,Yes
2420,214.4,59.1,Yes
2430,214.6,60.2,Yes
2440,215.1,60.5,Yes
2450,215.1,60.5,Yes
2460,214.7,60.1,Yes
2470,216.6,60.1,Yes
2480,218.3,60.5,Yes
2490,217.3,59.8,Yes
2500,217.0,58.9,Yes
2510,218.0,59.1,Yes
2520,218.5,60.1,Yes
2530,217.8,60.4,Yes
2540,216.3,61.2,Yes
2550,216.9,59.7,Yes
2560,218.7,59.7,Yes
2570,213.7,59.7,Yes
2580,216.9,61.0,Somewhat
2590,219.2,61.1,Yes
2600,218.6,61.1,Yes
2610,217.4,61.0,Yes
2620,219.4,61.0,Yes
2630,219.1,61.1,Somewhat
2640,218.7,60.5,Somewhat
2650,218.2,60.0,Somewhat
2660,218.0,60.1,Somewhat
2670,219.6,60.0,Somewhat
2680,220.1,59.9,Somewhat
2690,220.4,60.0,Somewhat
2700,219.9,59.2,Somewhat
2710,220.6,60.0,Somewhat
2720,219.7,60.1,Somewhat
2730,219.8,59.8,Yes
2740,219.9,60.4,Somewhat
2750,219.7,59.8,Somewhat
2760,218.9,60.4,Somewhat
2770,219.8,59.8,Somewhat
2780,219.9,59.6,Somewhat
2790,220.5,59.9,Somewhat
2800,220.8,59.9,Somewhat
2810,220.7,60.7,Somewhat
2820,220.2,60.3,Somewhat
2830,220.7,60.0,Somewhat
2840,220.7,58.8,Yes
2850,220.4,60.2,Somewhat
2860,221.1,60.5,Yes
2870,221.1,60.9,Somewhat
2880,220.4,60.4,Somewhat
2890,220.6,61.1,Somewhat
2900,219.5,60.6,Somewhat
2910,219.6,60.2,Somewhat
2920,219.9,60.2,Somewhat
2930,219.9,61.2,Somewhat
2940,220.5,60.8,Somewhat
2950,220.6,60.7,Somewhat
2960,220.9,60.2,Somewhat
2970,220.7,61.1,Somewhat
2980,219.8,60.8,Somewhat
2990,219.5,60.5,Somewhat
3000,220.7,60.6,Yes
3010,219.9,60.2,Yes
3020,219.9,60.2,Somewhat
3030,219.9,60.5,Somewhat
3040,220.6,59.7,Somewhat
3050,220.7,60.2,Somewhat
3060,220.6,60.3,Somewhat
3070,220.4,59.8,Somewhat
3080,220.8,60.9,Somewhat
3090,220.3,60.4,Somewhat
3100,220.9,61.0,Somewhat
3110,220.8,60.7,Somewhat
3120,220.7,60.3,Somewhat
3130,220.6,60.2,Somewhat
3140,220.5,61.0,Somewhat
3150,220.1,60.4,Somewhat
3160,220.0,60.0,Somewhat
3170,219.5,59.3,Somewhat
3180,220.3,60.1,Somewhat
3190,218.4,60.5,Somewhat
3200,219.9,60.7,Yes
3210,219.7,60.7,Somewhat
3220,220.1,60.1,Somewhat
3230,220.3,60.6,Somewhat
3240,220.4,60.5,Somewhat
3250,220.6,60.4,Somewhat
3260,220.7,60.4,Somewhat
3270,220.7,59.9,Somewhat
3280,220.7,60.4,Somewhat
3290,220.3,60.3,Somewhat
3300,220.5,60.0,Somewhat
3310,220.1,60.4,Somewhat
3320,220.0,59.8,Yes
3330,219.5,59.8,Somewhat
3340,220.6,60.8,Somewhat
3350,220.8,60.9,Somewhat
3360,220.8,61.0,Somewhat
3370,220.7,60.9,Somewhat
3380,220.5,60.9,Somewhat
3390,219.3,59.8,Somewhat
3400,220.4,59.0,Somewhat
3410,220.6,60.4,Somewhat
3420,220.6,61.1,Somewhat
3430,220.5,60.7,Somewhat
3440,220.2,57.6,Yes
3450,220.1,58.9,Yes
3460,219.3,59.4,Somewhat
3470,218.6,60.0,Somewhat
3480,219.4,60.9,Somewhat
3490,220.4,59.6,Yes
3500,219.3,59.3,Yes
3510,219.3,60.2,Yes
3520,219.3,60.0,Yes
3530,220.0,60.2,Somewhat
3540,220.2,60.6,Somewhat
3550,220.5,60.8,Somewhat
3560,220.3,61.5,Somewhat
3570,220.5,61.4,Somewhat
3580,220.5,61.3,Somewhat
3590,220.5,61.1,Somewhat
3600,220.2,61.2,Somewhat
3610,220.3,61.0,Somewhat
3620,220.3,60.8,Somewhat
3630,220.3,61.2,Somewhat
3640,220.4,62.0,Somewhat
3650,220.2,62.0,Somewhat
3660,219.8,62.0,Somewhat
3670,220.3,61.6,Somewhat
3680,220.2,61.4,Somewhat
3690,219.5,61.2,Somewhat
3700,220.1,59.2,Somewhat
3710,219.8,58.9,Somewhat
3720,220.0,59.5,Somewhat
3730,220.0,59.8,Somewhat
3740,219.7,59.5,Somewhat
3750,220.5,60.0,Somewhat
3760,220.5,59.0,Somewhat
3770,220.5,59.6,Somewhat
3780,220.5,59.7,Somewhat
3790,220.5,60.6,Somewhat
3800,220.6,59.6,Somewhat
3810,220.0,59.6,Somewhat
3820,220.6,59.8,Somewhat
3830,219.6,59.3,Somewhat
3840,219.5,61.0,Somewhat
3850,219.7,60.4,Somewhat
3860,219.5,60.4,Somewhat
3870,218.9,60.1,Somewhat
3880,220.0,60.4,Somewhat
3890,219.8,60.4,Somewhat
3900,218.9,60.5,Somewhat
3910,219.6,60.8,Somewhat
3920,219.7,60.8,Somewhat
3930,219.6,60.9,Somewhat
3940,219.3,60.4,Somewhat
3950,219.7,59.9,Somewhat
3960,219.4,60.6,Somewhat
3970,219.5,60.4,Somewhat
